iter	Logloss
0	0.519816067
1	0.4030000729
2	0.3180646152
3	0.272734124
4	0.2264867746
5	0.1940397463
6	0.1706335697
7	0.1505737614
8	0.13916635
9	0.1293094439
10	0.1209820019
11	0.1156779345
12	0.1105859843
13	0.107982499
14	0.1058955462
15	0.102222069
16	0.09990752776
17	0.09689581588
18	0.09499758146
19	0.09329939402
20	0.08983963555
21	0.08859757967
22	0.08734821924
23	0.08550084775
24	0.08456864099
25	0.08316776739
26	0.08167764912
27	0.08100970029
28	0.07983401338
29	0.07891906535
30	0.0778927154
31	0.0772676803
32	0.07655981457
33	0.07594371765
34	0.07503288189
35	0.07433943125
36	0.07377583553
37	0.07314296034
38	0.07248158295
39	0.071941146
40	0.07142884407
41	0.07077074665
42	0.07025631413
43	0.06984709277
44	0.06920480678
45	0.06862207034
46	0.06812890001
47	0.06777618345
48	0.0673284878
49	0.0669293717
50	0.06653881017
51	0.06601937881
52	0.06541431844
53	0.06513138817
54	0.06462449409
55	0.06396377994
56	0.06359242201
57	0.06319601487
58	0.06275427544
59	0.06236825841
60	0.06193623799
61	0.06148201814
62	0.06114186927
63	0.06066048776
64	0.06037524569
65	0.06001824813
66	0.05964408254
67	0.05929039644
68	0.05893850102
69	0.05859311325
70	0.05829231588
71	0.05792818525
72	0.05760059578
73	0.05723535479
74	0.05697393605
75	0.05668179828
76	0.05635535804
77	0.05603528016
78	0.05574267632
79	0.0553555516
80	0.05507040468
81	0.05488078626
82	0.05455016366
83	0.05426034409
84	0.05390154576
85	0.053690203
86	0.05328993369
87	0.05295755722
88	0.05272001797
89	0.05240684262
90	0.05219058068
91	0.05193002955
92	0.05172972176
93	0.05156521609
94	0.0512434872
95	0.05100051194
96	0.05079849006
97	0.05058683021
98	0.05030775802
99	0.05010062567
100	0.04992736152
101	0.0498019533
102	0.04966130043
103	0.04946778808
104	0.04928142098
105	0.04904251941
106	0.04870962732
107	0.04852869992
108	0.04829503346
109	0.04799045833
110	0.04783377386
111	0.04760839758
112	0.04735889181
113	0.04708156385
114	0.04674724104
115	0.04651023805
116	0.04631402556
117	0.04604959297
118	0.04586863792
119	0.04561219384
120	0.04540447627
121	0.04512421069
122	0.04499702786
123	0.04479330695
124	0.04453608458
125	0.04431687383
126	0.04413466895
127	0.04397250748
128	0.04379294572
129	0.04363357259
130	0.04341150365
131	0.04323406473
132	0.04304318577
133	0.04286070927
134	0.04269188635
135	0.04247851604
136	0.04232986129
137	0.04218038602
138	0.0420444926
139	0.04190572533
140	0.04174644559
141	0.04157941494
142	0.04139064831
143	0.04128800095
144	0.04110812702
145	0.04087982136
146	0.0407431721
147	0.04065594369
148	0.04048033455
149	0.04032363894
150	0.04015881758
151	0.03996936351
152	0.03984450799
153	0.03964691292
154	0.03953099307
155	0.039305374
156	0.03912914022
157	0.03897942822
158	0.03887770393
159	0.03874882638
160	0.03854238694
161	0.03838287003
162	0.03828746203
163	0.03810973232
164	0.03796285949
165	0.0377976383
166	0.03758380486
167	0.03745914077
168	0.03729979194
169	0.03712570763
170	0.0369703217
171	0.03688209185
172	0.03673741868
173	0.03659280003
174	0.03635967784
175	0.03621435977
176	0.03604457762
177	0.0358990142
178	0.03583102549
179	0.03573390324
180	0.03564261681
181	0.03551577465
182	0.03537378861
183	0.03527065251
184	0.03511458167
185	0.0350435073
186	0.03487798064
187	0.03474721288
188	0.03462860327
189	0.03453397902
190	0.03444914221
191	0.03427746358
192	0.03413213502
193	0.03395307087
194	0.03386902129
195	0.03368671351
196	0.03355495925
197	0.03341636101
198	0.03330249416
199	0.0331965491
200	0.03307544706
201	0.03291544788
202	0.03282213491
203	0.03272386767
204	0.03258697405
205	0.03249474283
206	0.03236930676
207	0.03224998991
208	0.0321652941
209	0.03204791092
210	0.03190474692
211	0.03174424371
212	0.03159918286
213	0.03148672116
214	0.0313697967
215	0.03127340653
216	0.03116571552
217	0.03098542263
218	0.03088422128
219	0.03082200529
220	0.03072830749
221	0.03059069077
222	0.03045960051
223	0.03037247204
224	0.03020139504
225	0.03008731559
226	0.02999431437
227	0.0298965837
228	0.02981057807
229	0.02966250877
230	0.02956550979
231	0.02951812336
232	0.02944100533
233	0.0293112127
234	0.02920864552
235	0.0291210445
236	0.02901553803
237	0.0288825801
238	0.02878652289
239	0.02872477788
240	0.02864888809
241	0.02857996878
242	0.02849453176
243	0.02843309015
244	0.02834163766
245	0.0282073525
246	0.02807059262
247	0.02795645777
248	0.02788600277
249	0.02777538858
